Episode;Duration;Value;Epsilon
1;0:00:48.850929;6148.425305364986;1.0
2;0:00:52.782371;6970.823358983741;0.9993571428571428
3;0:01:01.795645;6223.675845950433;0.9987142857142857
4;0:01:07.542907;6396.8730988868165;0.9980714285714285
5;0:01:51.032357;5601.430892725377;0.9974285714285713
6;0:02:05.181778;6364.232227562591;0.9967857142857142
7;0:00:59.005554;6556.191255063459;0.996142857142857
8;0:01:07.971822;8156.993478655335;0.9954999999999998
9;0:01:11.899288;8938.283311728113;0.9948571428571427
10;0:01:02.662001;6372.383106776041;0.9942142857142855
11;0:01:01.572348;5389.730281967511;0.9935714285714283
12;0:00:59.957389;5559.581376863012;0.9929285714285712
13;0:01:06.204956;7070.73657654384;0.992285714285714
14;0:01:02.110631;6628.437441112585;0.9916428571428568
15;0:00:55.880073;4991.588279024481;0.9909999999999997
16;0:01:00.326761;6929.125172721999;0.9903571428571425
17;0:01:03.885037;7489.440580252072;0.9897142857142853
18;0:01:03.040916;6890.95080278499;0.9890714285714282
19;0:01:03.820448;7000.039538568792;0.988428571428571
20;0:01:01.294120;6279.046755572982;0.9877857142857138
21;0:01:03.293309;6689.286521582493;0.9871428571428567
22;0:00:54.613847;6459.992265224958;0.9864999999999995
23;0:01:04.434816;7311.435489293286;0.9858571428571423
24;0:01:06.769131;7504.981823286738;0.9852142857142852
25;0:00:56.604980;6438.095304439758;0.984571428571428
26;0:00:56.281894;6730.49939656953;0.9839285714285708
27;0:01:00.151808;9048.622501849493;0.9832857142857137
28;0:00:57.287095;6443.538860858282;0.9826428571428565
29;0:01:00.021927;7051.784072921213;0.9819999999999993
30;0:00:57.669155;7826.971968419375;0.9813571428571422
31;0:00:55.395641;6990.981033362333;0.980714285714285
32;0:00:54.506103;5881.415667906611;0.9800714285714278
33;0:00:53.625859;5179.897508420573;0.9794285714285706
34;0:00:57.452202;7453.923792209708;0.9787857142857135
35;0:01:03.362742;7811.289280778815;0.9781428571428563
36;0:00:55.695992;7508.855701559388;0.9774999999999991
37;0:00:57.285300;5996.2977263774055;0.976857142857142
38;0:00:52.468655;8429.611779062507;0.9762142857142848
39;0:00:58.302190;6631.192209231317;0.9755714285714276
40;0:01:00.338385;9706.159631238748;0.9749285714285705
41;0:00:58.161064;7567.093994663452;0.9742857142857133
42;0:00:54.967116;6659.299673269372;0.9736428571428561
43;0:00:57.914716;7488.867728028859;0.972999999999999
44;0:00:57.841273;6935.022654741354;0.9723571428571418
45;0:00:51.774338;6491.101895142481;0.9717142857142846
46;0:00:57.356555;7675.799179582416;0.9710714285714275
47;0:00:56.326412;6989.625989688057;0.9704285714285703
48;0:01:00.670098;8174.27019015727;0.9697857142857131
49;0:00:50.699112;6173.745409460273;0.969142857142856
50;0:00:53.394194;6394.2235280835;0.9684999999999988
51;0:01:02.159617;7963.8651535004055;0.9678571428571416
52;0:00:52.222097;6743.84575587389;0.9672142857142845
53;0:00:58.148263;7774.157908199724;0.9665714285714273
54;0:00:56.737356;7307.346226343545;0.9659285714285701
55;0:00:51.268534;6658.2118310961;0.965285714285713
56;0:00:58.350939;8594.894157209501;0.9646428571428558
57;0:00:51.718008;5471.105510680643;0.9639999999999986
58;0:00:59.356797;7542.207310046907;0.9633571428571415
59;0:00:48.664641;5416.166040331546;0.9627142857142843
60;0:00:54.398716;6846.135784659978;0.9620714285714271
61;0:00:54.954334;6558.240932216605;0.96142857142857
62;0:00:52.869257;5932.097645902651;0.9607857142857128
63;0:00:56.288741;7645.832096645049;0.9601428571428556
64;0:00:56.714311;8283.186653238921;0.9594999999999985
65;0:00:58.940049;7663.392054775782;0.9588571428571413
66;0:00:50.903504;6268.318997829398;0.9582142857142841
67;0:00:54.457765;7437.289253427405;0.957571428571427
68;0:00:57.239191;7335.020373430588;0.9569285714285698
69;0:00:51.420286;5312.048368079136;0.9562857142857126
70;0:00:55.629020;8198.194202102284;0.9556428571428555
71;0:00:53.070521;7810.287257179812;0.9549999999999983
72;0:00:53.894935;5456.628364487921;0.9543571428571411
73;0:00:53.241498;6744.930877546373;0.953714285714284
74;0:00:54.457351;5558.721697469324;0.9530714285714268
75;0:00:57.881871;7257.626626950527;0.9524285714285696
76;0:00:54.126392;8509.358838758579;0.9517857142857125
77;0:00:58.860438;7395.798443324226;0.9511428571428553
78;0:00:54.770899;7238.727842409657;0.9504999999999981
79;0:00:57.418955;8064.4574015201415;0.949857142857141
80;0:00:49.224051;6470.11686310907;0.9492142857142838
81;0:00:58.205425;8487.664392587543;0.9485714285714266
82;0:00:56.087687;8453.17713786451;0.9479285714285695
83;0:00:57.173719;7456.441805229482;0.9472857142857123
84;0:00:59.083282;8944.674572865504;0.9466428571428551
85;0:00:56.438099;7716.668612398084;0.945999999999998
86;0:00:56.521522;6299.951773982782;0.9453571428571408
87;0:01:00.865753;9232.726821562364;0.9447142857142836
88;0:00:57.987836;7263.059814989298;0.9440714285714265
89;0:00:53.508533;7030.693432407076;0.9434285714285693
90;0:00:51.765028;6679.998247827465;0.9427857142857121
91;0:00:59.195370;10212.373261296876;0.942142857142855
92;0:00:55.065272;8035.741360783688;0.9414999999999978
93;0:00:57.530878;7090.584623573892;0.9408571428571406
94;0:00:52.930136;6816.682321157611;0.9402142857142834
95;0:01:00.575728;9117.105439727913;0.9395714285714263
96;0:00:53.622936;6906.2656721290095;0.9389285714285691
97;0:00:50.506591;5530.739080019983;0.938285714285712
98;0:00:59.585521;8676.395314368954;0.9376428571428548
99;0:01:00.605311;9887.349959838119;0.9369999999999976
100;0:00:57.235542;7125.845542881394;0.9363571428571404
101;0:00:56.427814;6882.020762267176;0.9357142857142833
102;0:00:52.402673;6396.11479203725;0.9350714285714261
103;0:01:15.239381;7657.0117142237905;0.9344285714285689
104;0:01:05.560940;7264.932391614794;0.9337857142857118
105;0:00:56.367293;7725.043425903993;0.9331428571428546
106;0:00:56.368853;6712.645463220023;0.9324999999999974
107;0:00:51.833567;6776.946861938825;0.9318571428571403
108;0:00:55.133989;7515.985718681741;0.9312142857142831
109;0:00:55.894580;7158.122819312354;0.9305714285714259
110;0:00:56.518047;7255.853589470905;0.9299285714285688
111;0:00:58.376904;8786.685784600508;0.9292857142857116
112;0:00:56.946543;7476.506805214146;0.9286428571428544
113;0:00:55.312035;7425.093826226259;0.9279999999999973
114;0:00:57.172477;7505.441778374117;0.9273571428571401
115;0:00:59.041421;8718.269223453268;0.9267142857142829
116;0:00:56.017005;7710.735166566992;0.9260714285714258
117;0:00:51.693428;6362.598632855155;0.9254285714285686
118;0:00:55.292365;8193.535256034855;0.9247857142857114
119;0:01:00.738805;8895.607470283814;0.9241428571428543
120;0:00:50.660208;5819.187976786774;0.9234999999999971
121;0:00:51.967078;6360.102133560942;0.9228571428571399
122;0:00:57.138562;7495.459082708134;0.9222142857142828
123;0:00:58.168520;8262.04863857554;0.9215714285714256
124;0:00:54.879613;7022.428179651854;0.9209285714285684
125;0:00:52.236525;6531.951355620289;0.9202857142857113
126;0:00:52.508656;7566.280268596169;0.9196428571428541
127;0:00:58.336520;8273.182675781583;0.9189999999999969
128;0:00:52.997614;6479.256020039495;0.9183571428571398
129;0:00:52.374566;6078.99663600494;0.9177142857142826
130;0:00:53.547833;6360.710250991573;0.9170714285714254
131;0:00:55.480436;7029.949859120655;0.9164285714285683
132;0:00:55.793114;8680.640801754502;0.9157857142857111
133;0:00:57.743318;6911.039802779307;0.9151428571428539
134;0:00:59.108014;9520.898078552787;0.9144999999999968
135;0:00:50.842446;5514.282467603926;0.9138571428571396
136;0:01:03.710954;9504.953047190189;0.9132142857142824
137;0:00:52.863179;6538.138912441028;0.9125714285714253
138;0:00:53.770961;6686.822743118999;0.9119285714285681
139;0:00:59.028233;8968.367246928163;0.9112857142857109
140;0:01:05.132219;8317.236878910342;0.9106428571428538
141;0:00:52.099323;6835.937128757843;0.9099999999999966
142;0:00:57.132695;6005.418477684713;0.9093571428571394
143;0:00:56.838959;8204.290831973773;0.9087142857142823
144;0:01:01.390871;8986.616946706956;0.9080714285714251
145;0:00:52.476477;6719.939601647969;0.9074285714285679
146;0:00:53.626089;7153.970580205413;0.9067857142857108
147;0:00:52.255550;6834.924557426024;0.9061428571428536
148;0:01:04.652538;7941.245482409472;0.9054999999999964
149;0:01:02.545537;8149.9770705113315;0.9048571428571393
150;0:00:52.342118;6569.714756225962;0.9042142857142821
151;0:00:54.912097;7085.794154622218;0.9035714285714249
152;0:00:55.558449;8207.078908302088;0.9029285714285677
153;0:00:54.787284;8351.6875511007;0.9022857142857106
154;0:00:48.394263;6391.963153848521;0.9016428571428534
155;0:00:53.318536;8126.270039881359;0.9009999999999962
156;0:00:59.730784;9510.883682583808;0.9003571428571391
157;0:00:49.734805;6184.38295780824;0.8997142857142819
158;0:00:51.645766;6751.550961565876;0.8990714285714247
159;0:00:53.164895;7503.282488340223;0.8984285714285676
160;0:00:53.418602;6864.747483583612;0.8977857142857104
161;0:00:54.733726;7969.04754541588;0.8971428571428532
162;0:01:01.018456;11135.223739857516;0.8964999999999961
163;0:00:55.680821;9023.651701301862;0.8958571428571389
