Date;Hour;Open;Low;High;Close;Volume
20140102;0;0.726993;0.727855;0.72647;0.726823;1088.6100004538894
20140102;1;0.726749;0.726797;0.726111;0.726464;1636.280000075698
20140102;2;0.726464;0.726823;0.726264;0.726786;1794.3500034809106
20140102;3;0.726797;0.727236;0.726464;0.726586;1841.7900059819215
20140102;4;0.726591;0.726755;0.726354;0.726417;1610.1000055074692
20140102;5;0.726417;0.726575;0.725974;0.726427;1765.9900068044665
20140102;6;0.726422;0.727596;0.726422;0.727484;2003.6600133180616
20140102;7;0.727484;0.727564;0.726845;0.726887;1970.3200099468224
20140102;8;0.726897;0.727431;0.726839;0.727241;3058.8600108623505
20140102;9;0.727241;0.728597;0.727088;0.728226;7142.680038571359
20140102;10;0.728231;0.729081;0.727749;0.728486;13441.2800732851
20140102;11;0.728475;0.728757;0.727691;0.728364;11905.570055127144
20140102;12;0.728369;0.728874;0.72821;0.72864;9926.860073924063
20140102;13;0.728651;0.730791;0.728651;0.730503;15157.310088485481
20140102;14;0.730503;0.733315;0.730503;0.732708;17549.900108069185
20140102;15;0.732708;0.73338;0.732011;0.732526;18492.7401060462
20140102;16;0.73252;0.73295;0.732204;0.73281;20007.92011284828
20140102;17;0.732832;0.733708;0.73207;0.732193;23173.300121977925
20140102;18;0.732198;0.732343;0.731176;0.731545;15783.290089249613
20140102;19;0.731545;0.73193;0.731229;0.731294;7968.860051810743
20140102;20;0.731294;0.731684;0.731213;0.731652;6189.980039238931
20140102;21;0.731689;0.732579;0.731566;0.732493;6847.140048697593
20140102;22;0.732493;0.732558;0.731861;0.731882;6094.900038830934
20140102;23;0.731888;0.731979;0.731433;0.731433;3174.6800137683754
20140103;0;0.731433;0.732091;0.73139;0.731855;1182.0500046238305
20140103;1;0.731866;0.731968;0.731668;0.73178;1034.0000032186508
20140103;2;0.73178;0.732016;0.731427;0.732016;2430.3300117254253
20140103;3;0.732011;0.732402;0.731786;0.732359;4778.720034599304
20140103;4;0.732359;0.732649;0.731855;0.732343;7422.600047826768
20140103;5;0.732338;0.73237;0.73177;0.732177;3811.4900352954883
20140103;6;0.732177;0.732198;0.731743;0.731893;3272.2500216960907
20140103;7;0.731888;0.732896;0.731791;0.732719;5499.580034136771
20140103;8;0.732719;0.732783;0.732402;0.732504;3377.0100208520894
20140103;9;0.732504;0.732869;0.731979;0.732558;8145.990066155789
20140103;10;0.732563;0.73352;0.732263;0.733197;14517.790098756555
20140103;11;0.733202;0.733783;0.732542;0.732783;12529.180076897144
20140103;12;0.732783;0.732977;0.732365;0.732815;8719.990059256555
20140103;13;0.732832;0.733192;0.732552;0.73317;9588.530050635338
20140103;14;0.73317;0.733342;0.732139;0.73302;12917.880083441729
20140103;15;0.73302;0.734101;0.732746;0.733272;14610.220077514648
20140103;16;0.733272;0.735056;0.733208;0.734775;19883.19011026621
20140103;17;0.73477;0.735337;0.7345;0.734614;15432.910121858118
20140103;18;0.73463;0.73511;0.734355;0.735035;11284.310071706775
20140103;19;0.735045;0.735662;0.734921;0.735094;11839.080070734026
