Index;Action;State;Reward;Value
0;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.44981000e+00 1.44496000e+00 1.45213000e+00
 1.45016000e+00 1.22488000e+05 1.08472000e+00 1.08236000e+00
 1.08582000e+00 1.08449000e+00 1.09102800e+05 8.49860000e-01
 8.48980000e-01 8.54290000e-01 8.52610000e-01 1.30247680e+05
 1.21276000e+02 1.20167000e+02 1.21377000e+02 1.20573000e+02
 2.77877501e+05 1.11722000e+00 1.11249000e+00 1.11798000e+00
 1.11548000e+00 1.79358550e+05 2.00000000e+04]";0.0;20000.0
1;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.45014000e+00 1.44782000e+00 1.45377000e+00
 1.45143000e+00 1.04573370e+05 1.08330000e+00 1.08309000e+00
 1.08595000e+00 1.08361000e+00 9.35275701e+04 8.53050000e-01
 8.49230000e-01 8.54470000e-01 8.50000000e-01 1.01962710e+05
 1.20424000e+02 1.20276000e+02 1.21395000e+02 1.21338000e+02
 2.41643371e+05 1.11656000e+00 1.11571000e+00 1.12055000e+00
 1.11968000e+00 1.39972985e+05 2.00000000e+04]";0.0;20000.0
2;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.45134000e+00 1.44881000e+00 1.45264000e+00
 1.45019000e+00 1.11517490e+05 1.08351000e+00 1.08081000e+00
 1.08603000e+00 1.08192000e+00 1.10288170e+05 8.50000000e-01
 8.46520000e-01 8.52690000e-01 8.49440000e-01 1.31673030e+05
 1.21307000e+02 1.20782000e+02 1.21445000e+02 1.20952000e+02
 2.31635431e+05 1.11960000e+00 1.11335000e+00 1.11975000e+00
 1.11526000e+00 1.52901855e+05 2.00000000e+04]";0.0;20000.0
3;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 1.4501900e+00 1.4462100e+00 1.4519200e+00 1.4479800e+00 1.5584954e+05
 1.0818100e+00 1.0782100e+00 1.0828500e+00 1.0814200e+00 1.4356074e+05
 8.4944000e-01 8.4545000e-01 8.5163000e-01 8.4758000e-01 1.4107149e+05
 1.2089900e+02 1.2016700e+02 1.2137900e+02 1.2116000e+02 3.7699218e+05
 1.1152900e+00 1.1101600e+00 1.1168200e+00 1.1105300e+00 1.9989027e+05
 2.0000000e+04]";0.0;20000.0
4;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.44795000e+00 1.44746000e+00 1.45457000e+00
 1.44968000e+00 1.13299760e+05 1.08132000e+00 1.07944000e+00
 1.08327000e+00 1.08057000e+00 9.30459302e+04 8.47550000e-01
 8.47100000e-01 8.53320000e-01 8.49820000e-01 1.23497330e+05
 1.21158000e+02 1.21093000e+02 1.21688000e+02 1.21634000e+02
 2.33665321e+05 1.11053000e+00 1.10924000e+00 1.11204000e+00
 1.11051000e+00 1.43293645e+05 2.00000000e+04]";0.0;20000.0
5;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.44968000e+00 1.44596000e+00 1.45276000e+00
 1.45092000e+00 1.26819790e+05 1.08057000e+00 1.08038000e+00
 1.08296000e+00 1.08145000e+00 7.80144702e+04 8.49810000e-01
 8.47890000e-01 8.51950000e-01 8.50930000e-01 1.24164370e+05
 1.21630000e+02 1.21522000e+02 1.21837000e+02 1.21738000e+02
 1.79105521e+05 1.11051000e+00 1.10850000e+00 1.11291000e+00
 1.11165000e+00 1.28788153e+05 2.00000000e+04]";0.0;20000.0
6;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.45049000e+00 1.44962000e+00 1.45474000e+00
 1.45360000e+00 8.73135201e+04 1.08081000e+00 1.07972000e+00
 1.08329000e+00 1.08060000e+00 7.60998902e+04 8.52600000e-01
 8.52120000e-01 8.58170000e-01 8.57090000e-01 1.09349280e+05
 1.21718000e+02 1.21716000e+02 1.22489000e+02 1.22404000e+02
 1.57465960e+05 1.11141000e+00 1.11125000e+00 1.11469000e+00
 1.11338000e+00 1.21005131e+05 2.00000000e+04]";0.0;20000.0
7;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.45360000e+00 1.45164000e+00 1.45658000e+00
 1.45333000e+00 1.05200360e+05 1.08060000e+00 1.07594000e+00
 1.08205000e+00 1.07611000e+00 9.61615602e+04 8.57090000e-01
 8.53970000e-01 8.59570000e-01 8.54450000e-01 1.20074070e+05
 1.22383000e+02 1.22185000e+02 1.22763000e+02 1.22380000e+02
 2.15186341e+05 1.11338000e+00 1.11045000e+00 1.11444000e+00
 1.11274000e+00 1.37411510e+05 2.00000000e+04]";0.0;20000.0
8;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.45346000e+00 1.45285000e+00 1.45812000e+00
 1.45404000e+00 9.68781301e+04 1.07614000e+00 1.07421000e+00
 1.07764000e+00 1.07479000e+00 1.07578250e+05 8.54220000e-01
 8.53700000e-01 8.57710000e-01 8.55060000e-01 1.08999900e+05
 1.22384000e+02 1.22195000e+02 1.22721000e+02 1.22526000e+02
 2.07386131e+05 1.11284000e+00 1.11185000e+00 1.11634000e+00
 1.11495000e+00 1.48755545e+05 2.00000000e+04]";0.0;20000.0
9;[<Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>, <Actions.SELL: 0>];"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.45394000e+00 1.45124000e+00 1.45647000e+00
 1.45234000e+00 1.03644540e+05 1.07479000e+00 1.07319000e+00
 1.07588000e+00 1.07427000e+00 8.76698701e+04 8.55040000e-01
 8.50900000e-01 8.56110000e-01 8.51410000e-01 1.13591060e+05
 1.22524000e+02 1.22481000e+02 1.22870000e+02 1.22655000e+02
 1.66467320e+05 1.11492000e+00 1.11279000e+00 1.11727000e+00
 1.11358000e+00 1.32757315e+05 2.00000000e+04]";0.0;20000.0
