Index;Reward;Value;Cash;Action_1;Action_2;Action_3;Action_4;Action_5;Stock_1;Stock_2;Stock_3;Stock_4;Stock_5
41;47.477639999997336;19704.82351162996;84.18295162995922;SELL;SELL;HOLD;HOLD;SELL;0.0;0.0;78.0;165.0;0.0
42;-8.38727999999901;19696.43623162996;84.18295162995922;SELL;SELL;HOLD;HOLD;SELL;0.0;0.0;78.0;165.0;0.0
43;138.91421999999875;19835.350451629958;84.18295162995922;SELL;SELL;HOLD;HOLD;SELL;0.0;0.0;78.0;165.0;0.0
44;119.22611999999936;19954.576571629957;84.18295162995922;SELL;SELL;HOLD;HOLD;SELL;0.0;0.0;78.0;165.0;0.0
45;155.2536365000051;20109.830208129963;0.8998881299593866;HOLD;SELL;SELL;HOLD;BUY;0.0;0.0;0.0;165.0;142.0
46;-40.89332760000252;20068.93688052996;32.61750052995939;SELL;BUY;BUY;BUY;SELL;0.0;2.0;2.0;166.0;0.0
47;-82.03895218999969;19986.89792833996;30.663358339959395;SELL;BUY;BUY;BUY;SELL;0.0;3.0;3.0;166.0;0.0
48;-191.91486550000263;19794.983062839958;33.8356828399594;SELL;SELL;HOLD;HOLD;SELL;0.0;0.0;3.0;166.0;0.0
49;-67.2300299999988;19727.75303283996;33.8356828399594;SELL;SELL;HOLD;HOLD;SELL;0.0;0.0;3.0;166.0;0.0
50;-190.4107299999996;19537.34230283996;33.8356828399594;SELL;SELL;HOLD;HOLD;SELL;0.0;0.0;3.0;166.0;0.0
51;-68.75454000000173;19468.587762839958;33.8356828399594;SELL;SELL;HOLD;HOLD;SELL;0.0;0.0;3.0;166.0;0.0
52;23.751649999998335;19492.339412839956;33.8356828399594;SELL;SELL;HOLD;HOLD;SELL;0.0;0.0;3.0;166.0;0.0
53;106.41245000000345;19598.75186283996;33.8356828399594;SELL;SELL;HOLD;HOLD;SELL;0.0;0.0;3.0;166.0;0.0
54;99.27033999999912;19698.02220283996;33.8356828399594;SELL;SELL;HOLD;HOLD;SELL;0.0;0.0;3.0;166.0;0.0
55;-53.307731170003535;19644.714471669955;31.902581669959396;SELL;BUY;BUY;BUY;SELL;0.0;1.0;4.0;166.0;0.0
56;67.2318770300044;19711.94634869996;29.967678699959396;SELL;BUY;BUY;BUY;SELL;0.0;2.0;5.0;166.0;0.0
57;-10.62747232000038;19701.31887637996;28.033426379959394;SELL;BUY;BUY;BUY;SELL;0.0;3.0;6.0;166.0;0.0
58;-150.92661715999566;19550.392259219963;26.104339219959392;SELL;BUY;BUY;BUY;SELL;0.0;4.0;7.0;166.0;0.0
59;29.029115929995896;19579.42137514996;24.17834514995939;SELL;BUY;BUY;BUY;SELL;0.0;5.0;8.0;166.0;0.0
60;-86.6525233900029;19492.768851759956;22.25303175995939;SELL;BUY;BUY;BUY;SELL;0.0;6.0;9.0;166.0;0.0
61;-38.53168863999963;19454.237163119957;28.55536311995939;SELL;SELL;HOLD;HOLD;SELL;0.0;0.0;9.0;166.0;0.0
62;-7.30876999999964;19446.928393119957;28.55536311995939;SELL;SELL;HOLD;HOLD;SELL;0.0;0.0;9.0;166.0;0.0
